week_ending,Date,MaxBill_Hours,Billable_HC,Delivered_Hours,Billed_Hours,Headcount,Is_Holiday
2024-01-05,2024-01-01,8126,1129,3123.72,3123.72,1171,False
2024-01-05,2024-01-02,8095,1138,2950.93,2950.93,1108,False
2024-01-05,2024-01-03,7466,1024,6734.52,6734.52,1048,False
2024-01-05,2024-01-04,8123,1053,5985.39,5985.39,1026,False
2024-01-05,2024-01-05,8332,951,7271.03,7271.03,988,False
2024-01-12,2024-01-06,7805,1079,7759.79,7759.79,1092,False
2024-01-12,2024-01-07,8184,1007,2043.7,2043.7,978,False
2024-01-12,2024-01-08,7856,998,5583.01,5583.01,1038,False
2024-01-12,2024-01-09,8499,1137,3512.78,3512.78,1166,False
2024-01-12,2024-01-10,7957,1124,3189.46,3189.46,1135,False
2024-01-12,2024-01-11,8267,1013,7389.25,7389.25,965,False
2024-01-12,2024-01-12,7646,970,2367.28,2367.28,992,False
2024-01-19,2024-01-13,7387,1038,5034.43,5034.43,1047,False
2024-01-19,2024-01-14,7776,1039,3333.64,3333.64,1041,False
2024-01-19,2024-01-15,7091,1060,2621.3,2621.3,1069,False
2024-01-19,2024-01-16,7508,957,2954.89,2954.89,953,False
2024-01-19,2024-01-17,8104,1113,6044.04,6044.04,1112,False
2024-01-19,2024-01-18,8025,1083,5293.93,5293.93,1086,True
2024-01-19,2024-01-19,7702,1095,4564.5,4564.5,1134,False
2024-01-26,2024-01-20,7201,1139,5109.68,5109.68,1188,False
2024-01-26,2024-01-21,7815,964,5317.13,5317.13,985,False
2024-01-26,2024-01-22,8275,1139,7299.45,7299.45,1128,False
2024-01-26,2024-01-23,7337,1060,5131.49,5131.49,1062,False
2024-01-26,2024-01-24,7216,1137,3545.36,3545.36,1127,False
2024-01-26,2024-01-25,7064,1038,4144.11,4144.11,1058,True
2024-01-26,2024-01-26,8152,1085,2086.62,2086.62,1122,False
2024-02-02,2024-01-27,7592,1085,6418.66,6418.66,1069,True
2024-02-02,2024-01-28,7378,954,6920.65,6920.65,944,False
